Year,Political Majority
1910,r
1911,d
1912,d
1913,d
1914,d
1915,d
1916,d
1917,d
1918,d
1919,r
1920,r
1921,r
1922,r
1923,r
1924,r
1925,r
1926,r
1927,r
1928,r
1929,r
1930,r
1931,r
1932,r
1933,d
1934,d
1935,d
1936,d
1937,d
1938,d
1939,d
1940,d
1941,d
1942,d
1943,d
1944,d
1945,d
1946,d
1947,r
1948,r
1949,d
1950,d
1951,d
1952,d
1953,r
1954,r
1955,d
1956,d
1957,d
1958,d
1959,d
1960,d
1961,d
1962,d
1963,d
1964,d
1965,d
1966,d
1967,d
1968,d
1969,d
1970,d
1971,d
1972,d
1973,d
1974,d
1975,d
1976,d
1977,d
1978,d
1979,d
1980,d
1981,d
1982,d
1983,d
1984,d
1985,d
1986,d
1987,d
1988,d
1989,d
1990,d
1991,d
1992,d
1993,d
1994,d
1995,r
1996,r
1997,r
1998,r
1999,r
2000,r
2001,r
2002,r
2003,r
2004,r
2005,r
2006,r
2007,d
2008,d
2009,d
2010,d
2011,r
2012,r
2013,r
2014,r
2015,r
2016,r
2017,r
2018,r
2019,d
2020,d
2021,d
2022,d
2023,r
2024,r
2025,r
